INFO 2026-07-13 14:15:13,743 User: None(ID:4) | GET http://127.0.0.1:8000/appointment/ | Status: 200 | Time: 0.03s
INFO 2026-07-13 14:15:38,483 User: None(ID:4) | POST http://127.0.0.1:8000/admin/logout/ | Status: 200 | Time: 0.03s
INFO 2026-07-13 14:15:40,505 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:22,825 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:22,933 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:23,064 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:35,519 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:35,825 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:35,953 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:36,080 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:36,248 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:36,360 User: Anonymous | GET http://127.0.0.1:8000/appointment/ | Status: 403 | Time: 0.00s
INFO 2026-07-13 14:28:43,740 User: Anonymous | GET http://127.0.0.1:8000/admin/ | Status: 302 | Time: 0.01s
INFO 2026-07-13 14:28:43,927 User: Anonymous | GET http://127.0.0.1:8000/admin/login/?next=/admin/ | Status: 200 | Time: 0.18s
INFO 2026-07-13 14:28:49,226 User: Anonymous | POST http://127.0.0.1:8000/admin/login/?next=/admin/ | Status: 302 | Time: 0.41s
INFO 2026-07-13 14:28:49,257 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/admin/ | Status: 200 | Time: 0.03s
INFO 2026-07-13 14:28:51,992 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/appointment/ | Status: 200 | Time: 0.03s
INFO 2026-07-13 14:28:52,601 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/appointment/ | Status: 200 | Time: 0.00s
INFO 2026-07-13 14:32:04,486 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/appointment/ | Status: 200 | Time: 0.01s
INFO 2026-07-13 14:32:09,698 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/appointment/ | Status: 200 | Time: 0.00s
INFO 2026-07-13 14:32:13,785 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/swagger/ | Status: 200 | Time: 0.03s
INFO 2026-07-13 14:32:13,846 User: komiljonooov.d@gmail.com(ID:4) | GET http://127.0.0.1:8000/swagger/?format=openapi | Status: 200 | Time: 0.02s
